ISOShNm1,ISOShNm2,year
GERMANY,AUSTRIA,1
GERMANY,BELGIUM,3
GERMANY,BULGARIA,3
GERMANY,DENMARK,4
GERMANY,ESTONIA,1
GERMANY,FINLAND,2
GERMANY,FRANCE,10
GERMANY,GREECE,3
GERMANY,HUNGARY,4
GERMANY,IRELAND,1
GERMANY,ITALY,1
GERMANY,LATVIA,2
GERMANY,LITHUANIA,1
GERMANY,LUXEMBOURG,1
GERMANY,NETHERLANDS,2
GERMANY,NORWAY,4
GERMANY,None,8
GERMANY,PORTUGAL,5
GERMANY,ROMANIA,1
GERMANY,RUSSIAN FEDERATION,3
GERMANY,SPAIN,3
GERMANY,SWEDEN,5
GERMANY,SWITZERLAND,1
GERMANY,TURKEY,3
GERMANY,UNITED KINGDOM,2
GERMANY,UNITED STATES,4
